county,year,polpc,crmrte
1,81,0.0017868,0.0398849
1,82,0.0017666,0.0383449
1,83,0.0018358,0.0303048
1,84,0.0018859,0.0347259
1,85,0.0019244,0.036573
1,86,0.0018952,0.0347524
1,87,0.0018279,0.0356036
3,81,0.0005939,0.0163921
3,82,0.0007047,0.0190651
3,83,0.0006587,0.0151492
3,84,0.0006089,0.0136621
3,85,0.0006413,0.0120346
3,86,0.0006762,0.0129982
3,87,0.0007459,0.0152532
5,81,0.0008209,0.0093372
5,82,0.0013555,0.0123229
5,83,0.0013416,0.0128064
5,84,0.0013345,0.0138299
5,85,0.0014822,0.0124753
5,86,0.001135,0.0142385
5,87,0.0012343,0.0129603
7,81,0.0014327,0.0219159
7,82,0.0014165,0.0173807
7,83,0.0014398,0.024211
7,84,0.0015046,0.0223434
7,85,0.0015341,0.0245848
7,86,0.0014103,0.0241281
7,87,0.0015299,0.0267532
9,81,0.0008353,0.0075178
9,82,0.0007389,0.0087368
9,83,0.0008604,0.0136804
9,84,0.0009007,0.0143262
9,85,0.0009021,0.0133173
9,86,0.0008539,0.0114417
9,87,0.0008602,0.0106232
11,81,0.0019067,0.0188472
11,82,0.0013588,0.0198536
11,83,0.0019803,0.0191668
11,84,0.0025506,0.0168042
11,85,0.0024759,0.0141194
11,86,0.0028238,0.0170081
11,87,0.002882,0.0146067
13,81,0.001207,0.0300493
13,82,0.0013436,0.0363259
13,83,0.0014763,0.0325271
13,84,0.0012138,0.0301272
13,85,0.0013556,0.0349786
13,86,0.0012726,0.033536
13,87,0.0013377,0.0296409
15,81,0.0009521,0.0168055
15,82,0.0008473,0.0200047
15,83,0.0008852,0.0142092
15,84,0.0009341,0.016346
15,85,0.0008896,0.0160135
15,86,0.0009372,0.0194461
15,87,0.0010353,0.0202814
17,81,0.0013272,0.0186469
17,82,0.001345,0.0211586
17,83,0.0012987,0.0202915
17,84,0.0012621,0.0179276
17,85,0.0013673,0.0196959
17,86,0.0014327,0.0185879
17,87,0.0012976,0.0304289
19,81,0.0019298,0.0225338
19,82,0.001936,0.0183782
19,83,0.0021733,0.0145267
19,84,0.0019476,0.013686
19,85,0.0018741,0.0128511
19,86,0.001784,0.0174337
19,87,0.0020243,0.0221567
21,81,0.0018014,0.0350348
21,82,0.0017689,0.0367896
21,83,0.0016787,0.0366069
21,84,0.0017722,0.0384395
21,85,0.0019133,0.0413296
21,86,0.0018719,0.0441642
21,87,0.0018296,0.0437355
23,81,0.0014249,0.0319175
23,82,0.0013685,0.0290211
23,83,0.0013735,0.0286164
23,84,0.0013643,0.02755
23,85,0.0014041,0.0293095
23,86,0.0013884,0.0256248
23,87,0.0014611,0.0269836
25,81,0.0015847,0.0360686
25,82,0.0016122,0.0370917
25,83,0.0016854,0.0312138
25,84,0.0016528,0.029444
25,85,0.0016077,0.0305075
25,86,0.0018003,0.0319331
25,87,0.0019714,0.0302542
27,81,0.0013843,0.0353349
27,82,0.0013686,0.0371544
27,83,0.0014347,0.0294409
27,84,0.0014427,0.0300368
27,85,0.001424,0.0355283
27,86,0.0013907,0.0366744
27,87,0.0014501,0.0382489
33,81,0.0006188,0.020039
33,82,0.0006589,0.0144477
33,83,0.000652,0.0161148
33,84,0.0005442,0.0141497
33,85,0.0007805,0.0153797
33,86,0.000802,0.0153723
33,87,0.0007559,0.0159189
35,81,0.0017513,0.0414138
35,82,0.0017501,0.0489555
35,83,0.0017224,0.0412081
35,84,0.0017568,0.0404708
35,85,0.0017862,0.0455489
35,86,0.0019468,0.0417065
35,87,0.0018944,0.0408569
37,81,0.0010886,0.0223026
37,82,0.0011636,0.0201309
37,83,0.0011228,0.0190303
37,84,0.0012526,0.0196145
37,85,0.0012295,0.0207011
37,86,0.0012725,0.0252807
37,87,0.001305,0.0226017
39,81,0.0011406,0.0158129
39,82,0.0011277,0.0188128
39,83,0.0011669,0.0168941
39,84,0.0010018,0.0142249
39,85,0.0011135,0.0130587
39,86,0.0010007,0.0113079
39,87,0.0011915,0.0119154
41,81,0.0017286,0.0365365
41,82,0.0017091,0.0304537
41,83,0.0017684,0.0220667
41,84,0.0017057,0.0158939
41,85,0.0016235,0.0125242
41,86,0.001748,0.0246998
41,87,0.001494,0.0257713
45,81,0.0011571,0.0344852
45,82,0.001144,0.0319727
45,83,0.0011406,0.0351112
45,84,0.0011813,0.0376378
45,85,0.0011813,0.03854
45,86,0.0011912,0.0312755
45,87,0.0012153,0.0362807
47,81,0.0019077,0.0319193
47,82,0.0018921,0.0305205
47,83,0.0019336,0.0291268
47,84,0.0019081,0.0296451
47,85,0.0020167,0.0293452
47,86,0.0019223,0.031931
47,87,0.0012813,0.0313623
49,81,0.0011919,0.0359381
49,82,0.0013467,0.0361096
49,83,0.0014829,0.0359286
49,84,0.0015091,0.0319024
49,85,0.0015352,0.030183
49,86,0.0014745,0.0320147
49,87,0.0014853,0.0374979
51,81,0.0014254,0.0630904
51,82,0.0014883,0.0628671
51,83,0.0014377,0.060056
51,84,0.0014549,0.0591762
51,85,0.0016594,0.0712392
51,86,0.0014956,0.0704214
51,87,0.001908,0.0883849
53,81,0.0008859,0.0196669
53,82,0.0009635,0.0199702
53,83,0.0008669,0.0222781
53,84,0.0009202,0.0138866
53,85,0.0008542,0.0170847
53,86,0.0009307,0.0138049
53,87,0.0011222,0.0140655
55,81,0.0032465,0.0397498
55,82,0.0032882,0.0467392
55,83,0.0033323,0.0530843
55,84,0.0029902,0.0504352
55,85,0.0036037,0.0635231
55,86,0.0040596,0.074755
55,87,0.0040096,0.0790163
57,81,0.0013775,0.0368013
57,82,0.0013448,0.0312481
57,83,0.0013052,0.0290823
57,84,0.0013524,0.0258322
57,85,0.0013412,0.0259898
57,86,0.0013819,0.027782
57,87,0.0013619,0.0300216
59,81,0.0010442,0.0183936
59,82,0.0009927,0.016081
59,83,0.001061,0.0159541
59,84,0.0010933,0.0160226
59,85,0.0008765,0.015924
59,86,0.0010477,0.0193287
59,87,0.0011965,0.0233327
61,81,0.0012501,0.0248057
61,82,0.0013284,0.0225081
61,83,0.0015338,0.0177485
61,84,0.001377,0.0169917
61,85,0.0013649,0.0179394
61,86,0.0014913,0.0215632
61,87,0.0014162,0.0233677
63,81,0.0022306,0.0813022
63,82,0.0024576,0.0785857
63,83,0.0025922,0.0760822
63,84,0.0027058,0.073959
63,85,0.0023205,0.0703023
63,86,0.0023762,0.0690603
63,87,0.0023761,0.0706599
65,81,0.0010269,0.054168
65,82,0.0010153,0.0524684
65,83,0.0009869,0.0458803
65,84,0.0010581,0.0481331
65,85,0.0006569,0.0603418
65,86,0.00065,0.0636435
65,87,0.0018574,0.0658801
67,81,0.0017366,0.0619138
67,82,0.0019691,0.0623111
67,83,0.0019844,0.0593568
67,84,0.0019539,0.0518556
67,85,0.0020049,0.0475793
67,86,0.0020076,0.0573538
67,87,0.0021775,0.0614177
69,81,0.0010903,0.0151278
69,82,0.0010106,0.0125657
69,83,0.0010335,0.0140695
69,84,0.0010856,0.012961
69,85,0.0011128,0.0123078
69,86,0.0010231,0.0166801
69,87,0.0010711,0.0173158
71,81,0.0017899,0.0578315
71,82,0.001957,0.067442
71,83,0.0019868,0.0609887
71,84,0.0019089,0.0585782
71,85,0.0019111,0.0571815
71,86,0.0019489,0.0555218
71,87,0.0020703,0.0544061
77,81,0.0022208,0.0321369
77,82,0.0021508,0.0380832
77,83,0.002299,0.0347969
77,84,0.0023824,0.0352097
77,85,0.0024011,0.0398521
77,86,0.0024002,0.0432589
77,87,0.0024671,0.0441957
79,81,0.0012353,0.018777
79,82,0.0013801,0.0166299
79,83,0.001161,0.0137267
79,84,0.0013028,0.0115195
79,85,0.001153,0.0118946
79,86,0.00103,0.0112693
79,87,0.001025,0.0156759
81,81,0.002173,0.063468
81,82,0.0020898,0.0597609
81,83,0.002239,0.0524466
81,84,0.0022974,0.048507
81,85,0.0022705,0.0527319
81,86,0.0022685,0.0570522
81,87,0.0024356,0.0604498
83,81,0.0015685,0.0314616
83,82,0.0015142,0.0315983
83,83,0.0015204,0.0265988
83,84,0.001552,0.0268714
83,85,0.0016038,0.0289042
83,86,0.0014149,0.0265029
83,87,0.0013853,0.0315752
85,81,0.0013922,0.0383181
85,82,0.0013437,0.0448326
85,83,0.0014433,0.0411592
85,84,0.0013927,0.0354902
85,85,0.0014164,0.0372284
85,86,0.0014127,0.04192
85,87,0.0014373,0.0490712
87,81,0.0014799,0.0249672
87,82,0.0014422,0.0294296
87,83,0.0014274,0.0292305
87,84,0.0014936,0.0299963
87,85,0.0014999,0.0302089
87,86,0.0016909,0.0235257
87,87,0.0016918,0.0286781
89,81,0.0009298,0.0268278
89,82,0.0010697,0.0290652
89,83,0.0010752,0.0266806
89,84,0.0012452,0.0222881
89,85,0.0012165,0.0268714
89,86,0.0012389,0.0286617
89,87,0.0012645,0.0283836
91,81,0.0014543,0.0327883
91,82,0.0014815,0.0339434
91,83,0.0015525,0.028893
91,84,0.0013828,0.0292986
91,85,0.0014281,0.0265877
91,86,0.001463,0.0315165
91,87,0.0016219,0.0384263
93,81,0.0013549,0.0371141
93,82,0.0013396,0.031241
93,83,0.0013258,0.0292154
93,84,0.0013138,0.0336595
93,85,0.0013776,0.0313736
93,86,0.0015108,0.0384803
93,87,0.0014264,0.0362222
97,81,0.0015449,0.0417355
97,82,0.0015511,0.0427797
97,83,0.001453,0.0363496
97,84,0.0015125,0.0345321
97,85,0.0015471,0.035918
97,86,0.0015243,0.0408816
97,87,0.0015267,0.0334506
99,81,0.001442,0.0186696
99,82,0.0010505,0.0198469
99,83,0.0014481,0.0155948
99,84,0.0015087,0.0150138
99,85,0.0015714,0.0132968
99,86,0.0017482,0.0185803
99,87,0.0018591,0.0171865
101,81,0.0012205,0.0306114
101,82,0.0012567,0.0331686
101,83,0.0012437,0.0284245
101,84,0.0012666,0.0300807
101,85,0.0013649,0.0315835
101,86,0.001381,0.0377065
101,87,0.0014005,0.0409403
105,81,0.0018435,0.0626787
105,82,0.0017698,0.0579285
105,83,0.0018039,0.0482863
105,84,0.0018112,0.0354481
105,85,0.0018347,0.0445928
105,86,0.001751,0.0504341
105,87,0.0019561,0.0514152
107,81,0.0015707,0.0434509
107,82,0.0015857,0.0465892
107,83,0.0016179,0.0489079
107,84,0.0016084,0.0479757
107,85,0.0016232,0.0451353
107,86,0.0016465,0.0450373
107,87,0.0016875,0.0497552
109,81,0.001017,0.0149547
109,82,0.0010741,0.0174821
109,83,0.0011082,0.018975
109,84,0.0011958,0.0193141
109,85,0.0010831,0.0199467
109,86,0.0011838,0.0178687
109,87,0.0010804,0.0230995
111,81,0.0008694,0.0231378
111,82,0.0008041,0.0207409
111,83,0.0008233,0.0130077
111,84,0.0008947,0.012742
111,85,0.0009594,0.0144764
111,86,0.0009296,0.0170996
111,87,0.0011872,0.0183048
113,81,0.0017067,0.0121416
113,82,0.0014946,0.009353
113,83,0.0017654,0.0118809
113,84,0.0015679,0.0111992
113,85,0.001537,0.0115498
113,86,0.0015169,0.0111381
113,87,0.001516,0.0142071
115,81,0.0087044,0.0053566
115,82,0.0128088,0.0036596
115,83,0.0131341,0.0018116
115,84,0.0150517,0.0018815
115,85,0.0165157,0.0047949
115,86,0.0168955,0.0047518
115,87,0.0090543,0.0055332
117,81,0.0005024,0.0127531
117,82,0.0004585,0.0175385
117,83,0.0006807,0.0145596
117,84,0.0004902,0.0188914
117,85,0.0005229,0.0177404
117,86,0.0007879,0.0228867
117,87,0.0011976,0.0268723
119,81,0.0018753,0.0816495
119,82,0.0018468,0.0890352
119,83,0.0021472,0.0854819
119,84,0.0018195,0.0868929
119,85,0.0018105,0.0874663
119,86,0.0018644,0.0913066
119,87,0.0022313,0.0989659
123,81,0.0015457,0.0374067
123,82,0.0014846,0.0354991
123,83,0.0016855,0.0333204
123,84,0.0015897,0.0302041
123,85,0.0017677,0.0321128
123,86,0.0018374,0.0338801
123,87,0.0017609,0.0300184
125,81,0.0017074,0.0330362
125,82,0.001747,0.0295613
125,83,0.0018068,0.0264993
125,84,0.0019409,0.0240551
125,85,0.001889,0.0230652
125,86,0.0019188,0.0237337
125,87,0.0020097,0.0266287
127,81,0.0007317,0.0495042
127,82,0.0007473,0.050565
127,83,0.0007306,0.0439535
127,84,0.0007105,0.0448501
127,85,0.0012234,0.0258142
127,86,0.0013139,0.0259867
127,87,0.0015829,0.0291496
129,81,0.0020641,0.0839218
129,82,0.0020313,0.0777385
129,83,0.0021786,0.0634987
129,84,0.0023617,0.0661003
129,85,0.0024624,0.070914
129,86,0.0026114,0.0763696
129,87,0.0025585,0.0834982
131,81,0.0012496,0.0218448
131,82,0.0008596,0.0202951
131,83,0.0008507,0.0155024
131,84,0.0008062,0.0137993
131,85,0.0009972,0.0144598
131,86,0.0007699,0.0155081
131,87,0.0012155,0.0189848
133,81,0.0012256,0.041821
133,82,0.0011945,0.0405609
133,83,0.0012042,0.0393081
133,84,0.0012304,0.0381837
133,85,0.001546,0.0517775
133,86,0.0015263,0.0535404
133,87,0.0015446,0.0551287
135,81,0.002192,0.0570824
135,82,0.0017997,0.0540804
135,83,0.0022578,0.0516532
135,84,0.0023563,0.0524006
135,85,0.0023066,0.0517818
135,86,0.0023539,0.0554268
135,87,0.0023387,0.0628972
137,81,0.00057,0.0127292
137,82,0.0006575,0.0204753
137,83,0.0005889,0.017568
137,84,0.0005865,0.0106549
137,85,0.0005525,0.0108666
137,86,0.0006378,0.0124818
137,87,0.0008143,0.0126662
139,81,0.001639,0.0278244
139,82,0.0015828,0.027246
139,83,0.0016037,0.0270391
139,84,0.0014287,0.0295938
139,85,0.0013107,0.0362156
139,86,0.0011582,0.029023
139,87,0.0016745,0.024347
141,81,0.0010216,0.0287834
141,82,0.0009662,0.0267457
141,83,0.0109028,0.0907109
141,84,0.0309556,0.0847914
141,85,0.0355781,0.0609911
141,86,0.0291262,0.163835
141,87,0.0012711,0.031461
143,81,0.0009336,0.0240664
143,82,0.0007179,0.0165128
143,83,0.0009136,0.0220282
143,84,0.0009185,0.0230636
143,85,0.0009059,0.0174132
143,86,0.000874,0.0211692
143,87,0.0008544,0.0265806
145,81,0.0012481,0.028504
145,82,0.0013007,0.0373545
145,83,0.0013203,0.0275623
145,84,0.0013147,0.0232703
145,85,0.00136,0.0271005
145,86,0.0013552,0.0257495
145,87,0.0013704,0.0299856
147,81,0.0016307,0.0515935
147,82,0.0017198,0.0585298
147,83,0.0019203,0.05091
147,84,0.0020781,0.0508713
147,85,0.0021873,0.0525701
147,86,0.0022453,0.0490622
147,87,0.0021887,0.0551686
149,81,0.0073952,0.0209532
149,82,0.0016553,0.0185088
149,83,0.0016382,0.0160101
149,84,0.0011548,0.0137135
149,85,0.0015737,0.0136124
149,86,0.0013205,0.0117459
149,87,0.0015187,0.0164987
151,81,0.000991,0.0241835
151,82,0.0008414,0.0248051
151,83,0.0010962,0.0208599
151,84,0.001172,0.0215881
151,85,0.0012724,0.0255308
151,86,0.0012671,0.0279068
151,87,0.0013243,0.0264557
153,81,0.0012766,0.0372807
153,82,0.0012622,0.031383
153,83,0.0012703,0.0315881
153,84,0.0014134,0.0301159
153,85,0.0013588,0.0282947
153,86,0.0014084,0.0266522
153,87,0.0013845,0.0317563
155,81,0.0012708,0.0441616
155,82,0.0013154,0.0358587
155,83,0.0013892,0.0283191
155,84,0.0014839,0.0284567
155,85,0.0014767,0.0311808
155,86,0.0014507,0.0316701
155,87,0.0014592,0.0312279
157,81,0.0018656,0.0360251
157,82,0.0018212,0.031602
157,83,0.0018139,0.0314258
157,84,0.0018961,0.0266499
157,85,0.0019489,0.0274601
157,86,0.0019573,0.0256915
157,87,0.0019178,0.0305908
159,81,0.0016769,0.035173
159,82,0.0016685,0.0292244
159,83,0.001672,0.0287771
159,84,0.0015128,0.0287943
159,85,0.0018555,0.031777
159,86,0.0017418,0.0308711
159,87,0.0015862,0.036233
161,81,0.0013818,0.0222742
161,82,0.0013479,0.0207294
161,83,0.001348,0.0196418
161,84,0.0013661,0.0171226
161,85,0.0012619,0.0198354
161,86,0.0011767,0.0218999
161,87,0.0012482,0.020007
163,81,0.0013496,0.0248116
163,82,0.0012834,0.0224186
163,83,0.0013111,0.0215107
163,84,0.0013487,0.0191925
163,85,0.0012899,0.0203012
163,86,0.0013051,0.0172874
163,87,0.0013659,0.0215728
165,81,0.0017694,0.0477432
165,82,0.0017163,0.0425763
165,83,0.0016057,0.0421413
165,84,0.0017144,0.0408157
165,85,0.0016937,0.0440056
165,86,0.0015508,0.0391644
165,87,0.0015138,0.0508341
167,81,0.0015282,0.0294232
167,82,0.0014505,0.0260284
167,83,0.0014953,0.0183428
167,84,0.0015243,0.0181909
167,85,0.0015482,0.021896
167,86,0.001654,0.0213432
167,87,0.0015514,0.0238285
169,81,0.0008042,0.0145053
169,82,0.0007657,0.0165503
169,83,0.0009035,0.0125903
169,84,0.000771,0.010994
169,85,0.0007703,0.0092151
169,86,0.0010185,0.0118263
169,87,0.0010952,0.0121033
171,81,0.0013737,0.0189838
171,82,0.0013909,0.0209131
171,83,0.0013766,0.023208
171,84,0.0014235,0.0213532
171,85,0.0014,0.0235205
171,86,0.0013797,0.0209747
171,87,0.0015744,0.0243954
173,81,0.0054956,0.0134337
173,82,0.0056361,0.0122786
173,83,0.0055788,0.0163379
173,84,0.0051865,0.010373
173,85,0.0035149,0.0047703
173,86,0.0027562,0.0090203
173,87,0.0031638,0.0139937
175,81,0.0015162,0.0175623
175,82,0.0015406,0.0164474
175,83,0.001566,0.0170197
175,84,0.0066001,0.0242597
175,85,0.0016049,0.0189785
175,86,0.0016809,0.0171221
175,87,0.0016455,0.0164932
179,81,0.0014945,0.028366
179,82,0.0014512,0.0258779
179,83,0.0015358,0.0246299
179,84,0.0015131,0.0256946
179,85,0.0014929,0.0277412
179,86,0.0015509,0.0314961
179,87,0.0014782,0.031872
181,81,0.0015673,0.0563677
181,82,0.0014961,0.0617686
181,83,0.0016658,0.0605235
181,84,0.0016234,0.0534929
181,85,0.0016183,0.0470632
181,86,0.0015919,0.0626827
181,87,0.0017295,0.0729479
183,81,0.0018376,0.0601894
183,82,0.0018891,0.0583432
183,83,0.0019372,0.0512834
183,84,0.0020187,0.0472032
183,85,0.0020255,0.0480699
183,86,0.0020384,0.0530244
183,87,0.0021275,0.0568423
185,81,0.011828,0.0107527
185,82,0.012766,0.0148936
185,83,0.0126449,0.0105374
185,84,0.0119306,0.0151844
185,85,0.0136719,0.0078125
185,86,0.0009034,0.0045815
185,87,0.0012221,0.0108703
187,81,0.0011939,0.0338507
187,82,0.001111,0.0312457
187,83,0.0010996,0.0221291
187,84,0.0011315,0.024611
187,85,0.0012506,0.0254524
187,86,0.0008731,0.0239377
187,87,0.0011691,0.0345231
189,81,0.0021745,0.0314674
189,82,0.0016585,0.0316963
189,83,0.0020366,0.0269621
189,84,0.0021129,0.0245914
189,85,0.0019502,0.0271844
189,86,0.0019744,0.0287322
189,87,0.0022784,0.031313
191,81,0.0011395,0.0371162
191,82,0.0011468,0.0404994
191,83,0.001243,0.036537
191,84,0.0011974,0.0330351
191,85,0.0012113,0.0345692
191,86,0.0011934,0.0345793
191,87,0.0012273,0.0458895
193,81,0.000926,0.0192107
193,82,0.0009732,0.0240456
193,83,0.0009964,0.0220034
193,84,0.0009761,0.0171735
193,85,0.0010006,0.0180945
193,86,0.0012105,0.0194505
193,87,0.0011789,0.0235277
195,81,0.0017569,0.0631212
195,82,0.001784,0.0588861
195,83,0.0017866,0.0573422
195,84,0.0019252,0.0551157
195,85,0.0042988,0.0236432
195,86,0.0043097,0.030095
195,87,0.0044592,0.0313973
197,81,0.0008308,0.0178621
197,82,0.0009241,0.0180711
197,83,0.0010729,0.0155747
197,84,0.0011087,0.0136619
197,85,0.0010541,0.0130857
197,86,0.0010879,0.012874
197,87,0.0011857,0.0141928
